Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,138,600.8399999999999
Furniture,Chairs,209,3312.4
Furniture,Furnishings,135,338.54
Furniture,Tables,47,-1831.8599999999997
Office Supplies,Appliances,68,2765.65
Office Supplies,Art,282,854.2399999999997
Office Supplies,Binders,311,1640.0000000000005
Office Supplies,Envelopes,152,893.89
Office Supplies,Fasteners,119,293.47999999999996
Office Supplies,Labels,150,235.73000000000005
Office Supplies,Paper,275,1836.2700000000004
Office Supplies,Storage,258,1477.3400000000004
Office Supplies,Supplies,122,414.49
Technology,Accessories,208,1148.65
Technology,Copiers,113,3081.5
Technology,Machines,78,1588.5800000000006
Technology,Phones,220,2229.7
