Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,237,5297.059999999999
Furniture,Chairs,377,3314.5500000000006
Furniture,Furnishings,349,2272.390000000001
Furniture,Tables,74,322.1000000000001
Office Supplies,Appliances,149,3759.7799999999993
Office Supplies,Art,418,1818.12
Office Supplies,Binders,673,1763.8800000000006
Office Supplies,Envelopes,241,1246.3600000000001
Office Supplies,Fasteners,289,449.77
Office Supplies,Labels,253,579.4500000000002
Office Supplies,Paper,367,1446.79
Office Supplies,Storage,576,4353.1500000000015
Office Supplies,Supplies,239,973.1700000000003
Technology,Accessories,390,4872.35
Technology,Copiers,220,7100.449999999999
Technology,Machines,99,-120.88999999999999
Technology,Phones,365,6532.71
